IL1,IL2,IL3,PF
14.076,5.198,26.6,0.89
14.84,5.261,25.992,0.89
15.437,5.438,16.477,0.89
15.876,5.513,20.388,0.89
14.993,5.55,20.511,0.9
19.565,8.312,20.441,0.87
25.982,12.45,19.91,0.87
17.398,7.122,19.717,0.88
15.321,6.256,16.268,0.88
15.84,5.456,18.402,0.88
14.237,5.462,19.492,0.9
14.286,6.111,20.09,0.9
15.724,5.973,16.972,0.88
14.608,4.705,14.239,0.83
10.013,0.834,9.386,0.48
9.057,0.835,8.916,0.46
9.012,0.834,2.56,0.46
9.581,0.826,3.218,0.46
10.449,1.653,9.453,0.48
10.181,1.599,9.995,0.48
17.336,8.914,4.314,0.64
22.321,12.627,5.625,0.68
10.83,3.548,10.069,0.54
11.239,1.408,10.401,0.52
11.433,0.833,4.989,0.52
10.542,1.94,5.959,0.51
8.095,2.874,10.03,0.49
10.066,2.805,11.731,0.51
8.874,0.875,6.181,0.49
19.683,11.539,10.326,0.68
21.092,12.086,8.015,0.68
9.257,1.288,3.973,0.5
9.322,1.446,7.115,0.51
11.305,2.487,7.838,0.61
9.773,1.647,3.88,0.5
10.559,3.039,5.701,0.51
19.916,11.817,10.75,0.68
21.74,12.739,7.101,0.68
11.334,1.654,4.718,0.49
11.3,0.826,8.426,0.5
11.18,1.868,8.812,0.5
10.092,3.124,7.272,0.5
18.69,10.768,9.628,0.67
21.885,12.217,10.663,0.68
22.223,12.227,10.98,0.68
12.362,4.186,4.414,0.56
10.781,2.934,9.54,0.51
11.111,3.775,11.244,0.54
20.843,12.091,11.03,0.68
21.69,12.181,11.445,0.68
14.32,5.606,10.843,0.61
9.973,1.697,10.107,0.51
10.278,3.193,11.869,0.53
10.58,2.912,7.989,0.52
11.388,0.976,10.727,0.5
11.505,0.958,10.779,0.5
12.631,3.897,12.542,0.59
20.873,10.873,10.851,0.67
22.644,12.376,11.679,0.68
14.371,7.379,13.182,0.62
10.78,2.879,11.716,0.52
11.347,2.461,11.673,0.52
11.923,3.239,12.966,0.53
11.619,2.444,11.712,0.52
10.738,2.581,11.371,0.51
11.841,3.996,11.805,0.54
22.554,12.417,12.314,0.67
22.722,12.522,12.068,0.68
12.625,4.244,11.069,0.56
11.46,1.532,10.789,0.51
11.068,2.58,11.322,0.51
11.069,2.27,11.022,0.5
21.674,11.512,11.8,0.7
22.857,12.671,12.91,0.68
21.657,11.491,11.669,0.68
